name,movie
Lawrence G. Paull,Little Fauss and Big Halsy
Lawrence G. Paull,Looking Back to the Future
Lawrence G. Paull,Dangerous Days: Making 'Blade Runner'
Lawrence G. Paull,On the Edge of 'Blade Runner'
Lawrence G. Paull,The Making of Back to the Future
Dave Margolin,Twister
Dave Margolin,Blade Runner
James T. Woods,Savage Dawn
James T. Woods,Blade Runner
James T. Woods,Hard Times
James T. Woods,The Sunchaser
David Webb Peoples,12 Monkeys
David Webb Peoples,Unforgiven
David Webb Peoples,Soldier
David Webb Peoples,Twelve Monkeys
David Webb Peoples,Hero
David Webb Peoples,The Blood of Heroes
David Webb Peoples,Ladyhawke
David Webb Peoples,Blade Runner
David Webb Peoples,The Day After Trinity
David Webb Peoples,1982 - Hollywood Summer
David Webb Peoples,Alien Galaxy
David Webb Peoples,The Real History of Science Fiction
David Webb Peoples,Clint Eastwood's West
David Webb Peoples,Dangerous Days: Making 'Blade Runner'
David Webb Peoples,All on Accounta Pullin' a Trigger
David Webb Peoples,On the Edge of 'Blade Runner'
David Webb Peoples,The Hamster Factor and Other Tales of 'Twelve Monkeys'
David Webb Peoples,The Day After Trinity
David Webb Peoples,Who Are the DeBolts? And Where Did They Get Nineteen Kids?
David Webb Peoples,Lucifer's Women
David Webb Peoples,Steel Arena
David Webb Peoples,The Blood of Heroes
David Webb Peoples,How We Stopped the War
Hampton Fancher,Escapes
Hampton Fancher,The Real History of Science Fiction
Hampton Fancher,Misfire: The Rise and Fall of the Shooting Gallery
Hampton Fancher,Dangerous Days: Making 'Blade Runner'
Hampton Fancher,On the Edge of 'Blade Runner'
Hampton Fancher,Last of the Good Guys
Hampton Fancher,The Other Side of the Mountain
Hampton Fancher,Switch
Hampton Fancher,The Stranger Who Looks Like Me
Hampton Fancher,Get Christie Love!
Hampton Fancher,Police Story
Hampton Fancher,How Did a Nice Girl Like You Get Into This Business?
Hampton Fancher,Mannix
Hampton Fancher,The Monroes
Hampton Fancher,The Incredible Sex Revolution
Hampton Fancher,The Great Adventure
Hampton Fancher,The Fugitive
Hampton Fancher,Arrest and Trial
Hampton Fancher,General Electric True
Hampton Fancher,Rome Adventure
Hampton Fancher,Parrish
Hampton Fancher,Outlaws
Hampton Fancher,Tate
Hampton Fancher,The Rebel
